learning_rate,step,train_loss,epoch
1.2500000000000002e-07,49,,
,49,0.7362123727798462,4
2.5000000000000004e-07,99,,
,99,0.7394652366638184,8
3.75e-07,149,,
,149,0.7277792096138,12
5.000000000000001e-07,199,,
,199,0.7233451008796692,16
6.25e-07,249,,
,249,0.7156267762184143,20
7.5e-07,299,,
,299,0.7018416523933411,24
8.750000000000001e-07,349,,
,349,0.6808459162712097,29
1.0000000000000002e-06,399,,
,399,0.6674990057945251,33
1.125e-06,449,,
,449,0.6449702382087708,37
1.25e-06,499,,
,499,0.625702977180481,41
1.3750000000000002e-06,549,,
,549,0.6041192412376404,45
1.5e-06,599,,
,599,0.5850552320480347,49
1.6250000000000001e-06,649,,
,649,0.5634966492652893,54
1.7500000000000002e-06,699,,
,699,0.5501497983932495,58
1.875e-06,749,,
,749,0.5370264053344727,62
2.0000000000000003e-06,799,,
,799,0.5186323523521423,66
2.1250000000000004e-06,849,,
,849,0.5100144743919373,70
2.25e-06,899,,
,899,0.5011058449745178,74
2.375e-06,949,,
,949,0.49610456824302673,79
2.5e-06,999,,
,999,0.4872509241104126,83
2.625e-06,1049,,
,1049,0.4811650514602661,87
2.7500000000000004e-06,1099,,
,1099,0.47580793499946594,91
2.8750000000000004e-06,1149,,
,1149,0.47286275029182434,95
3e-06,1199,,
,1199,0.4718872606754303,99
3.125e-06,1249,,
,1249,0.46278950572013855,104
3.2500000000000002e-06,1299,,
,1299,0.44784998893737793,108
3.3750000000000003e-06,1349,,
,1349,0.4536757469177246,112
3.5000000000000004e-06,1399,,
,1399,0.44396495819091797,116
3.625e-06,1449,,
,1449,0.44308021664619446,120
3.75e-06,1499,,
,1499,0.4358500838279724,124
3.875e-06,1549,,
,1549,0.440072625875473,129
4.000000000000001e-06,1599,,
,1599,0.4268505275249481,133
4.125e-06,1649,,
,1649,0.4272218644618988,137
4.250000000000001e-06,1699,,
,1699,0.4212316870689392,141
4.375e-06,1749,,
,1749,0.41462498903274536,145
4.5e-06,1799,,
,1799,0.41347742080688477,149
4.625e-06,1849,,
,1849,0.4066191613674164,154
4.75e-06,1899,,
,1899,0.4031144082546234,158
4.875000000000001e-06,1949,,
,1949,0.3985382914543152,162
5e-06,1999,,
,1999,0.3921075463294983,166
5.125e-06,2049,,
,2049,0.386276513338089,170
5.25e-06,2099,,
,2099,0.38557615876197815,174
5.375e-06,2149,,
,2149,0.3767279088497162,179
5.500000000000001e-06,2199,,
,2199,0.3763531744480133,183
5.625e-06,2249,,
,2249,0.36252015829086304,187
5.750000000000001e-06,2299,,
,2299,0.3666857182979584,191
5.875e-06,2349,,
,2349,0.3597007989883423,195
6e-06,2399,,
,2399,0.3531007468700409,199
6.125e-06,2449,,
,2449,0.35134950280189514,204
6.25e-06,2499,,
,2499,0.35627302527427673,208
6.375000000000001e-06,2549,,
,2549,0.34697338938713074,212
6.5000000000000004e-06,2599,,
,2599,0.3416767418384552,216
6.625000000000001e-06,2649,,
,2649,0.3343755900859833,220
6.750000000000001e-06,2699,,
,2699,0.3359266221523285,224
6.875000000000001e-06,2749,,
,2749,0.32914912700653076,229
7.000000000000001e-06,2799,,
,2799,0.3176169991493225,233
7.1249999999999995e-06,2849,,
,2849,0.31992822885513306,237
7.25e-06,2899,,
,2899,0.32809826731681824,241
7.375e-06,2949,,
,2949,0.3032858371734619,245
7.5e-06,2999,,
,2999,0.3098929226398468,249
7.625e-06,3049,,
,3049,0.30135756731033325,254
7.75e-06,3099,,
,3099,0.28524887561798096,258
7.875e-06,3149,,
,3149,0.28571149706840515,262
8.000000000000001e-06,3199,,
,3199,0.28525981307029724,266
8.125000000000001e-06,3249,,
,3249,0.29455915093421936,270
8.25e-06,3299,,
,3299,0.25948411226272583,274
8.375e-06,3349,,
,3349,0.2813431918621063,279
8.500000000000002e-06,3399,,
,3399,0.2779773771762848,283
8.625e-06,3449,,
,3449,0.2693464756011963,287
8.75e-06,3499,,
,3499,0.2772142291069031,291
8.875e-06,3549,,
,3549,0.26534387469291687,295
9e-06,3599,,
,3599,0.26208141446113586,299
9.125e-06,3649,,
,3649,0.23514942824840546,304
9.25e-06,3699,,
,3699,0.26729142665863037,308
9.375000000000001e-06,3749,,
,3749,0.25066134333610535,312
9.5e-06,3799,,
,3799,0.2411104142665863,316
9.625e-06,3849,,
,3849,0.2559974491596222,320
9.750000000000002e-06,3899,,
,3899,0.23808175325393677,324
9.875000000000001e-06,3949,,
,3949,0.2274908572435379,329
1e-05,3999,,
,3999,0.2396916002035141,333
1.0125e-05,4049,,
,4049,0.21959131956100464,337
1.025e-05,4099,,
,4099,0.25740981101989746,341
1.0375e-05,4149,,
,4149,0.2320888191461563,345
1.05e-05,4199,,
,4199,0.2372678965330124,349
1.0625e-05,4249,,
,4249,0.21860933303833008,354
1.075e-05,4299,,
,4299,0.22524091601371765,358
1.0875e-05,4349,,
,4349,0.21604041755199432,362
1.1000000000000001e-05,4399,,
,4399,0.2028851956129074,366
1.1125000000000001e-05,4449,,
,4449,0.20433872938156128,370
1.125e-05,4499,,
,4499,0.22101736068725586,374
1.1375e-05,4549,,
,4549,0.18439306318759918,379
1.1500000000000002e-05,4599,,
,4599,0.18817190825939178,383
1.1625000000000001e-05,4649,,
,4649,0.1942942887544632,387
1.175e-05,4699,,
,4699,0.20722927153110504,391
1.1875e-05,4749,,
,4749,0.1771983504295349,395
1.2e-05,4799,,
,4799,0.1953837126493454,399
1.2125e-05,4849,,
,4849,0.1931716650724411,404
1.225e-05,4899,,
,4899,0.20320355892181396,408
1.2375000000000001e-05,4949,,
,4949,0.1544344574213028,412
1.25e-05,4999,,
,4999,0.16645528376102448,416
1.2625e-05,5049,,
,5049,0.18140468001365662,420
1.2750000000000002e-05,5099,,
,5099,0.20384500920772552,424
1.2875000000000001e-05,5149,,
,5149,0.17525815963745117,429
1.3000000000000001e-05,5199,,
,5199,0.17512495815753937,433
1.3125e-05,5249,,
,5249,0.17739862203598022,437
1.3250000000000002e-05,5299,,
,5299,0.16771726310253143,441
1.3375000000000002e-05,5349,,
,5349,0.16451026499271393,445
1.3500000000000001e-05,5399,,
,5399,0.1918015480041504,449
1.3625e-05,5449,,
,5449,0.14926350116729736,454
1.3750000000000002e-05,5499,,
,5499,0.1719498634338379,458
